id,date,distance,very_active_distance,steps,calories
6,2018-10-23,1.507,0.213,2110,58
6,2018-10-24,1.131,0.154,1598,44
6,2018-10-25,2.304,0.287,3273,92
6,2018-10-26,2.309,0.423,3255,98
6,2018-10-27,0.825,0.077,1204,27
6,2018-10-28,2.15,0.204,3031,74
6,2018-10-29,2.933,0.251,3943,101
6,2018-10-30,3.166,0.257,4402,111
6,2018-10-31,1.753,0.216,2489,66
6,2018-11-01,1.973,0.19,2693,70
6,2018-11-02,1.736,0.185,2385,63
6,2018-11-03,1.592,0.136,2245,57
6,2018-11-04,4.777,0.131,6096,173
6,2018-11-05,1.71,0.17,2346,63
6,2018-11-06,3.957,0.196,5196,144
6,2018-11-07,2.303,0.159,3137,83
6,2018-11-08,0.37,0.036,533,14
6,2018-11-09,1.394,0.179,1870,51
6,2018-11-10,2.139,0.219,2941,78
6,2018-11-11,1.065,0.137,1574,38
6,2018-11-12,1.747,0.409,2504,75
6,2018-11-13,1.683,0.345,2268,65
6,2018-11-14,1.871,0.155,2659,66
6,2018-11-15,1.742,0.388,2457,70
6,2018-11-16,2.024,0.258,2910,83
6,2018-11-17,1.139,0.082,1575,41
6,2018-11-18,1.221,0.141,1805,42
6,2018-11-19,2.07,0.204,2799,79
6,2018-11-20,3.961,0.168,5181,142
6,2018-11-21,2.129,0.251,2911,85
6,2018-11-22,2.627,0.345,3753,103
6,2018-11-23,1.858,0.12,2569,65
6,2018-11-24,1.698,0.155,2256,61
6,2018-11-25,1.146,0.079,1539,39
6,2018-11-26,2.014,0.262,2888,71
6,2018-11-27,2.933,0.195,3986,96
6,2018-11-28,4.096,0.379,5724,143
6,2018-11-29,3.281,0.11,4446,105
6,2018-11-30,2.601,0.438,3629,107
6,2018-12-01,3.084,0.656,4101,126
6,2018-12-02,1.588,0.132,2155,56
6,2018-12-03,4.484,0.603,6045,172
6,2018-12-04,1.576,0.255,2263,64
6,2018-12-05,4.031,0.322,5463,149
6,2018-12-06,1.451,0.283,1999,54
6,2018-12-07,0,0,0,0
6,2018-12-08,3.761,0.099,5030,142
6,2018-12-09,0.75,0,1025,45
6,2018-12-10,5.08,0,6554,230
6,2018-12-11,3.795,0,5140,153
6,2018-12-12,2.352,0,3147,121
6,2018-12-13,3.676,0,4686,177
6,2018-12-14,2.691,0,3615,175
6,2018-12-15,2.042,0,3018,134
6,2018-12-16,1.386,0,2049,89
6,2018-12-17,2.938,0,4187,117
6,2018-12-18,3.252,0,4552,146
6,2018-12-19,5.854,0,8125,265
6,2018-12-20,5.689,0,7523,247
6,2018-12-21,3.491,0,4825,158
6,2018-12-22,1.207,0,1784,41
6,2018-12-23,0.71,0,940,56
6,2018-12-24,1.465,0,2165,75
6,2019-01-09,0.989,0,1242,59
6,2019-01-10,1.872,0,2568,87
6,2019-01-11,3.698,0,4386,194
6,2019-01-12,4.555,0,5823,237
6,2019-01-13,0.083,0,123,19
6,2019-01-14,1.084,0,1602,63
6,2019-01-15,1.431,0,1865,75
6,2019-01-16,1.805,0,2461,78
6,2019-01-17,1.631,0,2268,89
6,2019-01-18,1.744,0,2405,74
6,2019-01-19,2.564,0,3298,126
6,2019-01-20,0.266,0,393,23
6,2019-01-21,3.872,0,4826,194
6,2019-01-22,2.122,0,2893,101
6,2019-01-23,2.073,0,2795,106
6,2019-01-24,2.191,0,2993,104
6,2019-01-25,2.149,0,2849,121
6,2019-01-26,0.984,0,1454,76
6,2019-01-27,1.055,0,1475,70
6,2019-01-28,1.847,0,2477,123
6,2019-01-29,1.9,0,2690,124
6,2019-01-30,2.37,0,3164,160
6,2019-01-31,5.014,0,6663,267
6,2019-02-01,2.288,0,3061,92
6,2019-02-02,1.77,0,2507,81
6,2019-02-03,1.326,0,1862,96
6,2019-02-04,5.943,0,7359,327
6,2019-02-05,1.73,0,2251,95
6,2019-02-06,1.651,0,2340,97
6,2019-02-07,1.563,0,2286,86
6,2019-02-08,0.973,0,1438,77
6,2019-02-09,0.562,0,831,56
6,2019-02-10,2.115,0,2896,138
6,2019-02-11,0.128,0,189,11
6,2019-02-12,0.913,0,1225,45
6,2019-02-13,3.418,0,4404,164
6,2019-02-14,1.808,0,2660,108
6,2019-02-15,2.421,0,3532,159
6,2019-02-16,1.581,0,2336,77
6,2019-02-17,0.468,0,691,54
6,2019-02-18,1.911,0,2716,75
6,2019-02-19,4.241,0,5289,224
6,2019-02-20,3.585,0,5050,136
6,2019-02-21,1.589,0,2325,73
6,2019-02-22,4.197,0,5358,242
6,2019-02-23,0.723,0,1069,66
6,2019-02-24,0.075,0,111,13
6,2019-02-25,4.509,0,5745,218
6,2019-02-26,1.883,0,2752,88
6,2019-02-27,2.412,0,3261,151
6,2019-02-28,2.474,0,3388,123
6,2019-03-01,3.093,0,3961,156
6,2019-03-02,1.801,0,2570,88
6,2019-03-03,1.868,0,2567,83
6,2019-03-04,11.078,0,14311,507
6,2019-03-05,7.345,0,9631,334
6,2019-03-06,5.367,0,7344,239
6,2019-03-07,3.217,0,4626,171
6,2019-03-08,2.741,0,3842,141
6,2019-03-09,3.945,0,5530,191
6,2019-03-10,6.058,0,8068,323
6,2019-03-11,5.367,0,6868,268
6,2019-03-12,4.943,0,6379,242
6,2019-03-13,6.352,0,8258,343
6,2019-03-14,2.056,0,2928,149
6,2019-03-15,1.486,0,2196,124
6,2019-03-16,0.325,0,481,42
6,2019-03-17,8.53,0,10296,447
6,2019-03-18,5.36,0,6810,277
6,2019-03-19,2.22,0,3209,113
6,2019-03-20,3.597,0,4999,184
6,2019-03-21,1.71,0,2187,91
6,2019-03-22,0,0,0,0
6,2019-03-23,1.904,0,2814,102
6,2019-03-24,3.605,0,5282,168
6,2019-03-25,2.582,0,3716,149
6,2019-03-26,4.9,0,6402,232
6,2019-03-27,4.198,0,5738,186
6,2019-03-28,4.501,0,6022,178
6,2019-03-29,1.946,0,2732,76
6,2019-03-30,0.491,0,726,36
6,2019-03-31,0.242,0,357,33
6,2019-04-01,0.471,0,696,39
6,2019-04-02,1.683,0,2439,79
6,2019-04-03,2.518,0,3400,124
6,2019-04-04,2.391,0,3130,100
6,2019-04-05,2.004,0,2782,100
6,2019-04-06,1.922,0,2558,99
6,2019-04-07,0.749,0,1107,38
6,2019-04-08,2.79,0,4123,152
6,2019-04-09,3.129,0,4267,152
6,2019-04-10,2.554,0,3474,93
6,2019-04-11,3.729,0,5279,186
6,2019-04-12,3.459,0,4861,152
6,2019-04-13,2.848,0,3474,144
6,2019-04-14,1.452,0,2073,64
6,2019-04-15,1.91,0,2618,89
6,2019-04-16,3.374,0,4570,155
6,2019-04-17,2.153,0,2953,92
6,2019-04-18,3.451,0,4633,162
6,2019-04-19,1.33,0,1846,72
6,2019-04-20,0.108,0,159,20
6,2019-04-21,3.682,0,5006,197
6,2019-04-22,2.119,0,2982,130
6,2019-04-23,2.331,0,3210,135
6,2019-04-24,2.94,0,4126,154
6,2019-04-25,2.246,0,3164,150
6,2019-04-26,2.532,0,3695,128
6,2019-04-27,0.617,0,884,33
6,2019-04-28,9.468,0,12597,401
6,2019-04-29,3.156,0,4330,139
6,2019-04-30,3.484,0,4900,161
6,2019-05-01,3.76,0,5213,142
6,2019-05-02,4.26,0,5712,179
6,2019-05-03,2.123,0,3039,109
6,2019-05-04,2.855,0,3854,132
6,2019-05-05,3.569,0,4833,160
6,2019-05-06,2.859,0,3620,140
6,2019-05-07,1.45,0,2060,69
6,2019-05-09,0.162,0,244,14
6,2019-05-10,0.009,0,13,2
6,2019-05-11,1.166,0,1735,54
6,2019-05-12,1.742,0,2524,77
6,2019-05-13,0.372,0,531,24
6,2019-05-14,1.84,0,2716,119
6,2019-05-15,2.576,0,3589,110
6,2019-05-16,2.372,0,3388,90
6,2019-05-17,2.437,0,3517,97
6,2019-05-18,1.247,0,1874,65
6,2019-05-19,4.399,0,6264,183
6,2019-05-20,0.933,0,1324,59
6,2019-05-21,4.919,0,6627,222
6,2019-05-22,2.929,0,4206,123
