id,date,calories,steps,distance,sedentary_minutes,lightly_active_minutes,fairly_active_minutes,very_active_minutes
1,2015-08-17,3683,15572,11.57,515,472,33,14
1,2015-08-18,3106,10886,8.09,639,292,27,20
1,2015-08-19,3217,12213,9.07,421,381,13,8
1,2015-08-20,3421,12929,9.61,565,425,25,18
1,2015-08-21,3382,16364.999999999998,12.16,461,329,45,16
1,2015-08-22,3498,17252,12.82,481,382,19,42
1,2015-08-23,3288,14537,10.8,518,345,19,47
1,2015-08-24,3215,13404,9.96,685,192,38,71
1,2015-08-25,3063,10940,8.13,697,199,52,50
1,2015-08-26,2928,10032,7.45,757,175,45,45
1,2015-08-27,3229,14008,10.41,544,334,18,35
1,2015-08-28,3356,12149,9.03,1051,369,9,11
1,2015-08-29,3890,19977,14.84,648,395,23,74
1,2015-08-30,2961,11924,8.91,1421,0,0,0
1,2015-08-31,3136,10757,7.99,1187,145,43,65
1,2015-09-01,3681,12229,9.11,689,421,17,16
1,2015-09-02,3009,10330,7.68,770,248,16,15
1,2015-09-03,3094,11689,8.69,1043,182,50,51
1,2015-09-04,3518,15627,11.61,606,284,50,55
1,2015-09-05,2885,10681,7.94,656,240,15,30
1,2015-09-06,2745,7907,5.88,654,287,0,0
1,2015-09-07,2829,9487,7.05,1156,152,40,28
1,2015-09-08,2742,8253,6.13,1137,91,16,29
1,2015-09-09,4351,22238,16.52,355,407,87,85
1,2015-09-10,2967,10650,7.91,940,198,38,42
1,2015-09-11,3054,12038,8.94,700,201,44,57
1,2015-09-12,2937,11480,8.53,462,315,8,13
1,2015-09-13,2977,9199,6.84,600,361,15,8
1,2015-09-14,2947,9564,7.11,1118,168,43,46
1,2015-09-15,2821,9019,6.7,755,144,72,25
1,2015-09-16,3041,10239,7.61,675,192,35,46
1,2015-09-17,2796,7739,5.75,741,211,17,10
1,2015-09-18,2978,12620,9.38,773,170,59,39
1,2015-09-19,3160,14226,10.57,669,291,35,41
1,2015-09-20,2325,3858,2.87,1255,185,0,0
1,2015-09-21,3458,17603,13.08,1053,223,56,67
1,2015-09-22,2988,10699,7.95,655,252,32,21
1,2015-09-23,2561,7261,5.39,908,135,14,18
1,2015-09-24,3159,10608,7.88,1107,177,63,52
1,2015-09-25,3193,12271,9.12,548,323,34,24
1,2015-09-26,2934,9998,7.45,782,327,0,0
1,2015-09-27,2589,5757,4.28,800,270,0,0
