id,date,time,heart_rate
5,2019-08-14,04:10,54
5,2019-08-14,04:12,53
5,2019-08-14,04:14,57
5,2019-08-14,04:16,50
5,2019-08-14,04:18,51
5,2019-08-14,04:22,66
5,2019-08-14,04:24,51
5,2019-08-14,04:28,61
5,2019-08-14,04:30,58
5,2019-08-14,04:32,64
5,2019-08-14,04:34,61
5,2019-08-14,04:36,55
5,2019-08-14,04:38,63
5,2019-08-14,04:40,57
5,2019-08-14,04:42,61
5,2019-08-14,04:44,57
5,2019-08-14,04:46,47
5,2019-08-14,04:48,53
5,2019-08-14,04:50,50
5,2019-08-14,04:52,57
5,2019-08-14,04:54,59
5,2019-08-14,04:56,51
5,2019-08-14,04:58,50
5,2019-08-14,05:00,54
5,2019-08-14,05:02,62
5,2019-08-14,05:04,56
5,2019-08-14,05:06,52
5,2019-08-14,05:08,51
5,2019-08-14,05:10,56
5,2019-08-14,05:12,58
5,2019-08-14,05:14,66
5,2019-08-14,05:16,50
5,2019-08-14,05:18,53
5,2019-08-14,05:20,58
5,2019-08-14,05:22,55
5,2019-08-14,05:24,49
5,2019-08-14,05:26,52
5,2019-08-14,05:28,55
5,2019-08-14,05:30,58
5,2019-08-14,05:32,53
5,2019-08-14,05:34,74
5,2019-08-14,05:36,68
5,2019-08-14,05:38,47
5,2019-08-14,05:40,48
5,2019-08-14,05:42,52
5,2019-08-14,05:44,53
5,2019-08-14,05:46,56
5,2019-08-14,05:48,54
5,2019-08-14,05:50,52
5,2019-08-14,05:52,50
5,2019-08-14,05:54,55
5,2019-08-14,05:56,50
5,2019-08-14,05:58,53
5,2019-08-14,06:00,53
5,2019-08-14,06:02,57
5,2019-08-14,06:04,53
5,2019-08-14,06:16,51
5,2019-08-14,06:18,57
5,2019-08-14,06:20,53
5,2019-08-14,06:22,57
5,2019-08-14,06:24,55
5,2019-08-14,06:26,57
5,2019-08-14,06:28,58
5,2019-08-14,06:30,58
5,2019-08-14,06:34,54
5,2019-08-14,06:36,56
5,2019-08-14,06:38,59
5,2019-08-14,06:42,56
5,2019-08-14,06:44,56
5,2019-08-14,06:46,61
5,2019-08-14,06:48,74
5,2019-08-14,06:50,60
5,2019-08-14,06:52,49
5,2019-08-14,06:54,55
5,2019-08-14,06:56,72
5,2019-08-14,06:58,56
5,2019-08-14,07:00,55
5,2019-08-14,07:02,60
5,2019-08-14,07:04,57
5,2019-08-14,07:06,55
5,2019-08-14,07:08,60
5,2019-08-14,07:12,50
5,2019-08-14,07:14,62
5,2019-08-14,07:16,54
5,2019-08-14,07:18,55
5,2019-08-14,07:20,54
5,2019-08-14,07:22,57
5,2019-08-14,07:24,56
5,2019-08-14,07:26,52
5,2019-08-14,07:28,54
5,2019-08-14,07:30,51
5,2019-08-14,07:32,58
5,2019-08-14,07:34,52
5,2019-08-14,07:36,53
5,2019-08-14,07:38,58
5,2019-08-14,07:40,63
5,2019-08-14,07:42,56
5,2019-08-14,07:44,61
5,2019-08-14,07:46,56
5,2019-08-14,07:48,52
5,2019-08-14,07:50,59
5,2019-08-14,07:52,49
5,2019-08-14,07:56,55
5,2019-08-14,07:58,49
5,2019-08-14,09:16,51
5,2019-08-14,09:48,50
5,2019-08-14,10:18,56
5,2019-08-14,10:48,78
5,2019-08-14,11:18,69
5,2019-08-14,13:13,103
5,2019-08-14,13:48,75
5,2019-08-14,14:18,70
5,2019-08-14,14:48,110
5,2019-08-14,15:48,56
5,2019-08-14,16:18,66
5,2019-08-14,16:48,85
5,2019-08-14,17:07,69
5,2019-08-14,17:09,68
5,2019-08-14,17:11,68
5,2019-08-14,17:13,72
5,2019-08-14,17:15,67
5,2019-08-14,17:17,71
5,2019-08-14,17:19,70
5,2019-08-14,17:21,68
5,2019-08-14,17:31,68
5,2019-08-14,18:01,61
5,2019-08-14,18:31,59
5,2019-08-14,19:31,73
5,2019-08-14,20:31,79
5,2019-08-14,21:01,80
5,2019-08-14,21:31,80
5,2019-08-14,22:01,88
5,2019-08-14,23:01,64
5,2019-08-14,23:31,71
5,2019-08-15,00:01,59
5,2019-08-15,00:31,70
5,2019-08-15,01:01,78
5,2019-08-15,01:31,79
5,2019-08-15,02:01,70
5,2019-08-15,02:31,63
5,2019-08-15,02:59,55
5,2019-08-15,03:01,50
5,2019-08-15,03:03,55
5,2019-08-15,03:05,59
5,2019-08-15,03:07,56
5,2019-08-15,03:09,58
5,2019-08-15,03:11,59
5,2019-08-15,03:13,66
5,2019-08-15,03:15,59
5,2019-08-15,03:17,63
5,2019-08-15,03:19,63
5,2019-08-15,03:21,57
5,2019-08-15,03:23,58
5,2019-08-15,03:25,61
5,2019-08-15,03:27,59
5,2019-08-15,03:29,62
5,2019-08-15,03:31,62
5,2019-08-15,03:33,58
5,2019-08-15,03:35,58
5,2019-08-15,03:37,59
5,2019-08-15,03:39,66
5,2019-08-15,03:41,61
5,2019-08-15,03:43,59
5,2019-08-15,03:45,65
5,2019-08-15,03:49,57
5,2019-08-15,03:51,65
5,2019-08-15,03:53,69
5,2019-08-15,03:55,54
5,2019-08-15,03:57,51
5,2019-08-15,03:59,57
5,2019-08-15,04:01,52
5,2019-08-15,04:03,58
5,2019-08-15,04:05,62
5,2019-08-15,04:07,62
5,2019-08-15,04:09,55
5,2019-08-15,04:11,54
5,2019-08-15,04:13,60
5,2019-08-15,04:15,54
5,2019-08-15,04:17,50
5,2019-08-15,04:19,66
5,2019-08-15,04:21,65
5,2019-08-15,04:23,57
5,2019-08-15,04:25,56
5,2019-08-15,04:27,51
5,2019-08-15,04:29,56
5,2019-08-15,04:31,53
5,2019-08-15,04:33,48
5,2019-08-15,04:35,49
5,2019-08-15,04:37,57
5,2019-08-15,04:39,52
5,2019-08-15,04:41,52
5,2019-08-15,04:43,54
5,2019-08-15,04:45,51
5,2019-08-15,04:47,51
5,2019-08-15,04:49,51
5,2019-08-15,04:51,51
5,2019-08-15,04:53,49
5,2019-08-15,04:55,53
5,2019-08-15,04:57,52
5,2019-08-15,04:59,51
5,2019-08-15,05:01,51
5,2019-08-15,05:03,50
5,2019-08-15,05:05,53
5,2019-08-15,05:07,54
5,2019-08-15,05:09,53
5,2019-08-15,05:11,56
5,2019-08-15,05:13,55
5,2019-08-15,05:15,60
5,2019-08-15,05:17,54
5,2019-08-15,05:19,53
5,2019-08-15,05:21,55
5,2019-08-15,05:23,55
5,2019-08-15,05:25,54
5,2019-08-15,05:27,48
5,2019-08-15,05:29,55
5,2019-08-15,05:31,55
5,2019-08-15,05:33,58
5,2019-08-15,05:35,54
5,2019-08-15,05:37,57
5,2019-08-15,05:39,66
5,2019-08-15,05:41,53
5,2019-08-15,05:43,61
5,2019-08-15,05:45,53
5,2019-08-15,05:47,58
5,2019-08-15,05:49,52
5,2019-08-15,05:51,61
5,2019-08-15,05:53,69
5,2019-08-15,05:55,54
5,2019-08-15,05:57,52
5,2019-08-15,05:59,56
5,2019-08-15,06:01,53
5,2019-08-15,06:03,68
5,2019-08-15,06:05,55
5,2019-08-15,06:07,54
5,2019-08-15,06:09,54
5,2019-08-15,06:11,69
5,2019-08-15,06:13,53
5,2019-08-15,06:15,52
5,2019-08-15,06:17,56
5,2019-08-15,06:19,60
5,2019-08-15,06:21,54
5,2019-08-15,06:23,52
5,2019-08-15,06:25,53
5,2019-08-15,06:27,60
5,2019-08-15,06:29,61
5,2019-08-15,06:33,51
5,2019-08-15,06:37,55
5,2019-08-15,06:39,52
5,2019-08-15,06:41,47
5,2019-08-15,06:43,63
5,2019-08-15,06:45,58
5,2019-08-15,06:49,54
5,2019-08-15,06:51,55
5,2019-08-15,06:53,69
5,2019-08-15,06:55,53
5,2019-08-15,06:59,60
5,2019-08-15,07:01,55
5,2019-08-15,07:05,72
5,2019-08-15,07:09,52
5,2019-08-15,07:13,48
5,2019-08-15,07:15,47
5,2019-08-15,07:17,51
5,2019-08-15,07:19,47
5,2019-08-15,07:27,89
5,2019-08-15,07:31,68
5,2019-08-15,07:33,91
5,2019-08-15,07:35,57
5,2019-08-15,07:39,51
5,2019-08-15,07:41,47
5,2019-08-15,07:43,52
5,2019-08-15,07:49,69
5,2019-08-15,07:51,64
5,2019-08-15,07:57,63
5,2019-08-15,07:59,54
5,2019-08-15,08:03,56
5,2019-08-15,08:19,67
5,2019-08-15,08:21,53
5,2019-08-15,08:23,63
5,2019-08-15,08:25,59
5,2019-08-15,08:27,51
5,2019-08-15,08:29,61
5,2019-08-15,08:31,55
5,2019-08-15,08:33,62
5,2019-08-15,08:35,64
5,2019-08-15,08:37,62
5,2019-08-15,08:41,60
5,2019-08-15,08:43,57
5,2019-08-15,08:45,60
5,2019-08-15,08:51,63
5,2019-08-15,08:53,64
5,2019-08-15,09:09,50
5,2019-08-15,09:11,59
5,2019-08-15,09:13,61
5,2019-08-15,09:15,56
5,2019-08-15,09:17,53
5,2019-08-15,09:19,57
5,2019-08-15,09:21,73
5,2019-08-15,09:23,54
5,2019-08-15,09:25,57
5,2019-08-15,09:27,62
5,2019-08-15,09:29,56
5,2019-08-15,09:31,64
5,2019-08-15,09:33,60
5,2019-08-15,09:35,64
5,2019-08-15,09:37,63
5,2019-08-15,09:39,63
5,2019-08-15,09:41,63
5,2019-08-15,09:43,59
5,2019-08-15,09:45,64
5,2019-08-15,09:47,63
5,2019-08-15,09:49,67
5,2019-08-15,09:51,62
5,2019-08-15,09:53,61
5,2019-08-15,09:55,61
5,2019-08-15,09:57,66
5,2019-08-15,09:59,60
5,2019-08-15,10:01,66
5,2019-08-15,10:03,61
5,2019-08-15,10:05,64
5,2019-08-15,10:07,65
5,2019-08-15,10:09,64
5,2019-08-15,10:11,87
5,2019-08-15,10:13,80
5,2019-08-15,10:15,91
5,2019-08-15,10:17,64
5,2019-08-15,10:19,76
5,2019-08-15,10:21,76
5,2019-08-15,10:33,69
5,2019-08-15,10:35,61
5,2019-08-15,10:37,50
5,2019-08-15,10:45,62
5,2019-08-15,10:47,56
5,2019-08-15,10:49,56
5,2019-08-15,10:51,69
5,2019-08-15,10:53,64
5,2019-08-15,10:55,65
5,2019-08-15,10:57,68
5,2019-08-15,11:01,60
5,2019-08-15,11:05,72
5,2019-08-15,11:11,91
5,2019-08-15,11:41,57
5,2019-08-15,12:11,64
5,2019-08-15,13:11,48
5,2019-08-15,13:41,79
5,2019-08-15,14:11,96
5,2019-08-15,14:41,68
5,2019-08-15,15:11,103
5,2019-08-15,15:22,73
5,2019-08-15,15:24,69
5,2019-08-15,15:26,72
5,2019-08-15,15:28,76
5,2019-08-15,15:30,72
5,2019-08-15,15:32,71
5,2019-08-15,15:34,76
5,2019-08-15,15:36,75
5,2019-08-15,15:38,65
5,2019-08-15,15:40,69
5,2019-08-15,15:42,77
5,2019-08-15,15:44,70
5,2019-08-15,15:46,64
5,2019-08-15,15:48,73
5,2019-08-15,15:50,77
5,2019-08-15,15:52,78
5,2019-08-15,15:54,76
5,2019-08-15,15:56,71
5,2019-08-15,15:58,75
5,2019-08-15,16:00,71
5,2019-08-15,16:02,74
5,2019-08-15,16:04,70
5,2019-08-15,16:06,74
5,2019-08-15,16:08,88
5,2019-08-15,16:10,61
5,2019-08-15,16:12,70
5,2019-08-15,16:14,73
5,2019-08-15,16:16,55
5,2019-08-15,16:18,115
5,2019-08-15,16:20,81
5,2019-08-15,16:22,92
5,2019-08-15,17:12,63
5,2019-08-15,17:14,65
5,2019-08-15,17:16,68
5,2019-08-15,17:18,68
5,2019-08-15,17:20,61
5,2019-08-15,17:22,62
5,2019-08-15,17:24,54
5,2019-08-15,17:26,56
5,2019-08-15,17:28,55
5,2019-08-15,17:30,58
5,2019-08-15,17:32,63
